№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
4767;Проставка СТЭФ;НГКШ.745571.417-01;<>;36; ;РОСИЗОЛИТ ООО
4768;Проставка СТЭФ;НГКШ.745571.473;<>;80; ;Электротехника (МЕХ.ЦЕХ)
4769;Противогаз;ГП-7Б;<>;2; ;ЭЛЛЕВИН ООО
4770;Проушина;ОЛК-01 11.00 СБ;<>;142; ;ПМК ООО
4771;Проушина;НГКШ.713441.109;<>;174; ;ТЕХКОМ НН
4772;"Профили вертикальные 19"" 42U ""L"" профиль (2 шт.)";R5MCRE20ITL;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4773;Профиль;ВЭ 261.1-00.007;<>;7; ;МЕТАЛЛООБРАБОТКА ИК
4774;Профиль;ВЭ 261.1-00.007-01;<>;7; ;МЕТАЛЛООБРАБОТКА ИК
4775;Профиль;НГКШ.745418.081-Л;<>;6; ;ХРОМОС Инжиниринг
4776;Профиль;К101.1-01.00.026;<>;11; ;ХРОМОС Инжиниринг
4777;Профиль;ТШАГ.745532.165;<>;3; ;ХРОМОС Инжиниринг
4778;Профиль;К101.1-01.00.026-01;<>;12; ;ХРОМОС Инжиниринг
4779;Профиль;К117.28-01.00.056-01;<>;1; ;ХРОМОС Инжиниринг
4780;Профиль;К117.28-01.00.056;<>;1; ;ХРОМОС Инжиниринг
4781;Профиль;К117.28-01.00.026;<>;1; ;ХРОМОС Инжиниринг
4782;Профиль;К117.28-01.00.026-01;<>;1; ;ХРОМОС Инжиниринг
4783;Профиль;ВЭ 261.1-00.007;<>;7; ;Электротехника (МЕХ.ЦЕХ)
4784;Профиль;ВЭ 261.1-00.007-01;<>;7; ;Электротехника (МЕХ.ЦЕХ)
4785;Профиль Z-образный;ZC40H40/3;<>;4; ;Кабельрост
4786;Профиль алюминиевый с перфорацией L=2100мм; ;<>;8; ;Металлург НПЦ
4787;Профиль алюминиевый с перфорацией длина 2100 мм;70100700;<>;13; ;Металлург НПЦ
4788;Проходная вставка;ТШАГ.745231.001-Л;<>;480; ;ХРОМОС Инжиниринг
4789;Проходная вставка;ТШАГ.745231.001;<>;70; ;ХРОМОС Инжиниринг
4790;Пружина;ИТЕА.745422.508;<>;100; ;ТехКвалитет
4791;Пружина;8АХ 281.054;<>;1000; ;ТехКвалитет
4792;Пружина;ИТЕА.745422.518;<>;500; ;ТехКвалитет
4793;Пружина;ТШАГ.753512.003;<>;1000; ;ТехКвалитет
4794;Пружина;ТШАГ.753512.001-01;<>;3000; ;ТехКвалитет
4795;Пружина;ИТЕА.745422.527;<>;600; ;ТехКвалитет
4796;Пружина;8КИ 281.015;<>;3000; ;ТехКвалитет
4797;Пружина;ИТЕА.745422.525;<>;100; ;ТехКвалитет
4798;Пружина;ИТЕА.745422.505-01;<>;800; ;ТехКвалитет
4799;Пружина;ТШАГ.753512.001;<>;100; ;ТехКвалитет
4800;Пружина;ИТЕА.745422.526;<>;750; ;ТехКвалитет
4801;Пружина тарельчатая;М10;<>;34000; ;ВолотТехСтрой ООО
4802;Пружина тарельчатая;М6;<>;1300; ;ВолотТехСтрой ООО
4803;Пружина тарельчатая (din 2093);М12;<>;15000; ;ВолотТехСтрой ООО
4804;Пруток медный D=70 мм.; ;<>;83; ;КросМет ООО
4805;Пульт контроля и управления;С-2000;С-2000М;2; ;ИП Малыгин А.Л.
4806;Пульт контроля и управления;С-2000;С-2000М;4; ;НЕКСТ ТД
4807;Пульт контроля и управления;С-2000;С-2000М;1; ;ТИНКО ТД
4808;Рабочий штекер FAME-WP 4+1;Ph3074120;<>;7; ;АМИТРОН -ЭК
4809;Рабочий штекер Ph3074121;FAME-WP 6+1;<>;18; ;АМИТРОН -ЭК
4810;Радиатор;ТШАГ.741394.000-02;<>;1000; ;Электроконтакт Йошкар-Ола
4811;Разветвитель интерфейса;ПР 3;<>;650; ;АЛМАЗ-АМПЕР ООО
4812;Разделитель;НГКШ.745418.668;<>;8; ;Крабер ООО
4813;Разделитель;НГКШ.745418.671;<>;2; ;Крабер ООО
4814;Разделитель;НГКШ.745418.504-01;<>;2; ;Крабер ООО
4815;Разделитель;НГКШ.745418.505-01;<>;2; ;Крабер ООО
4816;Разделитель;НГКШ.745418.505-02;<>;2; ;Крабер ООО
4817;Разделитель;НГКШ.745418.628;<>;14; ;Крабер ООО
4818;Разделитель;НГКШ.745532.213;<>;18; ;ХРОМОС Инжиниринг
4819;Разделитель;НГКШ.745532.212;<>;18; ;ХРОМОС Инжиниринг
4820;Разделитель;НГКШ.745532.215;<>;18; ;ХРОМОС Инжиниринг
4821;Разделитель;НГКШ.745532.211;<>;18; ;ХРОМОС Инжиниринг
4822;Разделитель;НГКШ.745532.214;<>;18; ;ХРОМОС Инжиниринг
4823;Разделитель;НГКШ.745418.739;<>;1; ;ХРОМОС Инжиниринг
4824;Разделитель;НГКШ.745418.739-01;<>;1; ;ХРОМОС Инжиниринг
4825;Разделитель;НГКШ.745418.742;<>;2; ;ХРОМОС Инжиниринг
4826;Разделитель;НГКШ.745532.210;<>;36; ;ХРОМОС Инжиниринг
4827;Разделитель;НГКШ.745418.740;<>;1; ;ХРОМОС Инжиниринг
4828;Разделитель;НГКШ.745532.215-01;<>;18; ;ХРОМОС Инжиниринг
4829;Разделитель;НГКШ.745418.741;<>;2; ;ХРОМОС Инжиниринг
4830;Разделитель;НГКШ.745418.740-01;<>;1; ;ХРОМОС Инжиниринг
4831;Разделитель 100А;НГКШ.745418.619-01;<>;6; ;ПМК ООО
4832;Разделитель 100А;НГКШ.745418.619;<>;12; ;ХРОМОС Инжиниринг
4833;Разделитель 3b;НГКШ.745418.634;<>;21; ;Крабер ООО
4834;Разделитель 3b;НГКШ.745418.633;<>;21; ;Крабер ООО
4835;Разделитель 3b;НГКШ.745418.636;<>;4; ;Крабер ООО
4836;Разделитель 3b;НГКШ.745418.635;<>;4; ;Крабер ООО
4837;Разделитель 3b;НГКШ.745418.634;<>;3; ;ПМК ООО
4838;Разделитель 3b;НГКШ.745418.633;<>;3; ;ПМК ООО
4839;Разделитель 400;НГКШ.745418.759;<>;4; ;ХРОМОС Инжиниринг
4840;Разделитель 630_630;НГКШ.745418.521;<>;7; ;Крабер ООО
4841;Разделитель 630_630;НГКШ.745418.766-01;<>;1; ;ПМК ООО
4842;Разделитель 630_630;НГКШ.745418.766;<>;2; ;ХРОМОС Инжиниринг
4843;Разделитель 630_630;НГКШ.745418.766-01;<>;1; ;ХРОМОС Инжиниринг
4844;Разделитель 630_630;НГКШ.745418.766-03;<>;1; ;ХРОМОС Инжиниринг
4845;Разделитель 630_630;НГКШ.745418.766-02;<>;3; ;ХРОМОС Инжиниринг
4846;Разделитель гор. релейного отсека Ш=800;R5D280;<>;3; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4847;Разделитель горизонтальный одностор. шинный Ш=600 Г=800;R5SBB68 НЭТЗ;<>;4; ;Крабер ООО
4848;Разделитель горизонтальный одностор. шинный Ш=800 Г=800;R5SBB88;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4849;Разделитель горизонтальный релейного отсека верх. Ш=800;R5SBA80;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4850;Разделитель лотковый(перегородка) гор. цинк;RL 100 S=1.2 L 3000;<>;45; ;Завод КМК
4851;Разделитель отсеков;НГКШ.745418.513;<>;2; ;Крабер ООО
4852;Разделитель СШ Ввод верх;НГКШ.745418.618;<>;3; ;ХРОМОС Инжиниринг
4853;Разделитель СШ Ввод верх;НГКШ.745418.618-01-Л;<>;3; ;ХРОМОС Инжиниринг
4854;Разъеденитель-предохранитель;TeSyS 3P 32A 10x38;<>;5; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4855;Разъединитель линейный 1000 Ампер;РВЗ-10/1000-II УХЛ3 (Контэл);<>;1; ;Контактэлектро
4856;Разъединитель линейный 1000 Ампер;РВЗ-10/1000-II УХЛ3 (Контэл);Разъединитель линейный 1000 Ампер (1000 мм.);23; ;Контактэлектро
4857;Разъединитель линейный 1000 Ампер;РВЗ-10/1000-II УХЛ3 (Контэл);Разъединитель линейный 1000 Ампер (750 мм.);13; ;Контактэлектро
4858;Разъединитель линейный 630 Ампер;РВЗ-10/630-II УХЛ3 (Контэл);Разъединитель линейный 630 Ампер (1000 мм.);82; ;Контактэлектро
4859;Разъединитель линейный 630 Ампер;РВЗ-10/630-II УХЛ3 (Контэл);Разъединитель линейный 630 Ампер (750 мм.);58; ;Контактэлектро
4860;Разъединитель линейный 630 Ампер 750мм по фасаду;РВЗ-10/630-II УХЛ3 (Вологодск);<>;2; ;ВОЛОГОДСКИЙ ЭМЗ АО
4861;Разъединитель секционный 1000 Ампер  один нож;РВЗ-10/1000-II УХЛ3 (Контэл);Разъединитель секционный 1000 Ампер (1000 мм.);1; ;Контактэлектро
4862;Разъединитель секционный 1000 Ампер  один нож;РВЗ-10/1000-II УХЛ3 (Контэл);Разъединитель секционный 1000 Ампер (750 мм.);2; ;Контактэлектро
4863;Разъединитель секционный 630 Ампер один нож;РВЗ-10/630-II УХЛ3 (Контэл);Разъединитель секционный 630 Ампер (750 мм.);1; ;Контактэлектро
4864;Разъединитель шинный 1000 Ампер;РВФЗ-10/1000-II-IIУХЛ3 (Контэл);<>;1; ;Контактэлектро
4865;Разъединитель шинный 1000 Ампер;РВФЗ-10/1000-II-IIУХЛ3 (Контэл);Разъединитель шинный 1000 Ампер (1000 мм.);13; ;Контактэлектро
4866;Разъединитель шинный 1000 Ампер;РВФЗ-10/1000-II-IIУХЛ3 (Контэл);Разъединитель шинный 1000 Ампер (750 мм.);12; ;Контактэлектро
4867;Разъединитель шинный 630 Ампер (1000 мм по фасаду);РВФЗ-10/630-II-II УХЛ3 (Контэл);<>;54; ;Контактэлектро
4868;Разъединитель шинный 630 Ампер (750 мм по фасаду);РВФЗ-10/630-II-II УХЛ3 (Вологодск);<>;2; ;ВОЛОГОДСКИЙ ЭМЗ АО
4869;Разъединитель шинный 630 Ампер (750 мм по фасаду);РВФЗ-10/630-II-II УХЛ3 (Контэл);<>;77; ;Контактэлектро
4870;Разъединитель шинный 630 Ампер (межфазное 250 мм) (1000 мм);РВФЗ-10/630-II-II УХЛ2 (Контэл);<>;10; ;Контактэлектро
4871;Разъем к трансформатору напряжения;Тип CCA626;<>;2; ;Шнейдер Электрик АО
4872;Разъем питания под винт 20 конт.;Тип CCA620;<>;35; ;Шнейдер Электрик АО
4873;Разъем плоский (мама);РпИм 1.25-250;<>;6; ;Возврат с производства
4874;Разъем плоский (мама);РпИм 1.25-250;<>;400; ;Толедо СК
4875;Разъем/гнездо на панель;AC5FDZ BULK XLR5;<>;13; ;"ООО ""ТЭЛ Омск"""
4876;Разъем/гнездо на панель;AC5FDZ BULK XLR5;<>;200; ;Таврида Электрик
4877;Разъемы коммуникационного интерфейса Modbus;TRV00217;<>;10; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4878;Рама ВНА;НГКШ.301341.105;<>;2; ;ПМК ООО
4879;Рама задняя 1000;НГКШ.301341.1535;<>;24; ;Крабер ООО
4880;Рама задняя 350;НГКШ.301341.1546;<>;4; ;Крабер ООО
4881;Рама задняя 450;НГКШ.301341.1658;<>;14; ;Крабер ООО
4882;Рама задняя 600;НГКШ.301341.1392;<>;140; ;Крабер ООО
4883;Рама задняя 800;НГКШ.301341.1485;<>;62; ;Крабер ООО
4884;Рама ЗР;ТРК-01 14.00 СБ;<>;4; ;ПМК ООО
4885;Рама ЗР;ТРК-21 14.00 СБ;<>;1; ;ПМК ООО
4886;Рама линейного разъединителя;ОЛК-21 15.00 СБ;<>;11; ;ЛАЗЕР-НН
4887;Рама линейного разъединителя;ОЛК-01 15.00 СБ;<>;67; ;ПМК ООО
4888;Рама линейного разъединителя;ОЛК-21 15.00 СБ;<>;93; ;ПМК ООО
4889;Рама ЛР;ТСК-21 14.00 СБ;<>;1; ;ПМК ООО
4890;Рама ЛР;ТСК-01 14.00 СБ;<>;2; ;ПМК ООО
4891;Рама ЛР;НГКШ.301341.019;<>;10; ;ПМК ООО
4892;Рама ф1000;НГКШ.301341.1800-04;<>;16; ;Крабер ООО
4893;Рама ф600;НГКШ.301341.1800-02;<>;12; ;Крабер ООО
4894;Рама ф800;НГКШ.301341.1800-03;<>;44; ;Крабер ООО
4895;Рама шинного моста вар №1(М=1.6м,;НГКШ.301228.036;<>;1; ;ПМК ООО
4896;Рама шинного моста вар №1(М=1.8м, L=1312м.);ШМ-01.01.01СБ;<>;2; ;ПМК ООО
4897;Рама шинного моста вар №10(М=2.7м, L=1762м.);ШМ-01.01.10СБ;<>;2; ;ПМК ООО
4898;Рама шинного моста вар №2(М=1.9м, L=1362м.);ШМ-01.01.02СБ;<>;2; ;ПМК ООО
4899;Рама шинного моста вар №5(М=2.2м,L=1512м);ШМ-21.01.05СБ;<>;2; ;ПМК ООО
4900;Рама шинного моста вар №8(М=2.5м, L=1662м.);ШМ-01.01.08СБ;<>;2; ;ПМК ООО
4901;Рама шинного моста вар №9(М=2.6м,L=1712м);ШМ-21.01.09СБ;<>;2; ;ПМК ООО
4902;Рама ШП;НГКШ.301341.1746-01;<>;1; ;Крабер ООО
4903;Рама ШП;НГКШ.301341.1747-01;<>;1; ;Крабер ООО
4904;Рама ШП;НГКШ.301341.1747;<>;1; ;Крабер ООО
4905;Рама ШП;НГКШ.301341.1746;<>;1; ;Крабер ООО
4906;Рамка;НГКШ.745212.1857;<>;2; ;Крабер ООО
4907;Рамка;НГКШ.301242.050;<>;2; ;Крабер ООО
4908;Рамка вентилятора;НГКШ.745418.524;<>;12; ;Крабер ООО
4909;Рамка вентилятора;НГКШ.745418.524-01;<>;12; ;Крабер ООО
4910;Рамка верхняя;ОЛК-01 12.00 СБ;<>;65; ;ПМК ООО
4911;Рамка верхняя;ОЛК-21 12.00 СБ;<>;2; ;ПМК ООО
4912;Рамка верхняя;32.4 К-01 06.00СБ;<>;1; ;ПМК ООО
4913;Рамка изоляторов;НГКШ.301532.1280;<>;1; ;Крабер ООО
4914;Рамка изоляторов;НГКШ.301341.490;<>;2; ;Крабер ООО
4915;Рамка изоляторов;НГКШ.301341.1796;<>;3; ;Крабер ООО
4916;Рамка изоляторов;НГКШ.301532.196;<>;1; ;Крабер ООО
4917;Рамка изоляторов;НГКШ.301341.689;<>;4; ;Крабер ООО
4918;Рамка изоляторов;НГКШ.301532.293;<>;6; ;Крабер ООО
4919;Рамка сварная;ВЭ111.26-06.100;<>;2; ;Крабер ООО
4920;Расцепитель независимый;DA2 125-1000AF AC200-240V;<>;8; ;Снаб-СП
4921;Расцепитель Независимый ~/= 220-240B   (Legrand);7007136;<>;2; ;Толедо СК
4922;Расцепитель независимый для выключателей автоматических серии ВА47-MCB, 220VDC.;НР SHT 220DC MCB-N/H/L;<>;6; ;АКЭЛ ПТК
4923;Ревун;РВФ 220;<>;2; ;КОМПАНИЯ МОДУЛЬ-С
4924;Ревун;РВП-220;<>;1; ;Толедо СК
4925;Ревун на кольце с фильтром;РВ-1 220В;<>;5; ;КОМПАНИЯ МОДУЛЬ-С
4926;Регистратор;Дуга-О;<>;36; ;Механотроника НТЦ ООО
4927;Регулятор температуры электронный;РТМ-2000;<>;1; ;АЛЬФАИНЖИНИРИНГ ООО
4928;Резистор;С5-35 Р=25 Вт R=2,2 кОм;<>;10; ;РАДИОЭЛЕМЕНТ ООО
4929;Резистор;С5-35 Р=50 Вт R=3,9 кОм;<>;87; ;РАДИОЭЛЕМЕНТ ООО
4930;Резистор;С5-35 Р=160 Вт R=330 Ом;<>;152; ;РИКОН РЭЗ
4931;Резистор;С5-35 Р=100 Вт R=620 Ом;<>;15; ;ЧИП и ДИП
4932;Резистор;С5-35 Р=100 Вт R=100 Ом;<>;20; ;ЧИП и ДИП
4933;Резистор;С5-35 Р=50 Вт R=3,9 кОм;<>;300; ;ЧИП и ДИП
4934;Резистор;С5-35 Р=160 Вт R=330 Ом;<>;20; ;ЧИП и ДИП
4935;Резистор;С5-35В-16 15кОм 10%;<>;10; ;ЧИП и ДИП
4936;Резистор;С5-35 Р=100 Вт R=470 Ом;<>;2; ;ЧИП и ДИП
4937;Резистор;С5-35 Р=16 Вт R=10 Ом;<>;1; ;ЧИП и ДИП
4938;Резистор;С5-35 Р=16 Вт R=10 кОм;<>;4; ;ЧИП и ДИП
4939;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-1,6 кОм;20; ;ЧИП и ДИП
4940;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-10 кОм;20; ;ЧИП и ДИП
4941;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-120 Ом;40; ;ЧИП и ДИП
4942;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-2 кОм;20; ;ЧИП и ДИП
4943;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-2,2 кОм;70; ;ЧИП и ДИП
4944;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-4,7 кОм;20; ;ЧИП и ДИП
4945;Резистор;С2-33Н-хх-хх кОм;С2-33Н-0,25-8,2 кОм;20; ;ЧИП и ДИП
4946;Резистор догрузочный;МР3021-Н-100/V3В-3х3ВА;<>;3; ;Мир Энерго
4947;Резистор догрузочный;МР3021-Н-100/V3В-30ВА 111 Ом;<>;108; ;РИКОН РЭЗ
4948;Резистор догрузочный;МР3021-Н-100/V3В-3х30ВА;<>;1; ;ЭЛЕКТРОНПРИБОР ООО
4949;Резистор ПЭВ;ПЭВ 100 Вт 100 Ом;<>;20; ;ЧИП и ДИП
4950;Резистор ПЭВ;ПЭВ 100 Вт 620 Ом;<>;60; ;ЧИП и ДИП
4951;Резистор ПЭВ;ПЭВ 50 3,9 кОм;<>;100; ;ЧИП и ДИП
4952;Рейка;НГКШ.745512.1591-01;<>;20; ;ПМК ООО
4953;Рейка;НГКШ.745512.1591-01-Л;<>;29; ;ХРОМОС Инжиниринг
4954;Рейка;НГКШ.745512.1590-01-Л;<>;23; ;ХРОМОС Инжиниринг
4955;Рейка;НГКШ.745418.784-л;<>;4; ;ХРОМОС Инжиниринг
4956;Рейка;НГКШ.745512.1590-02-Л;<>;4; ;ХРОМОС Инжиниринг
4957;Рейка боковая 400;НГКШ.745418.689-Л;<>;4; ;ХРОМОС Инжиниринг
4958;Рейка боковая 600;НГКШ.745418.689-01-Л;<>;44; ;ХРОМОС Инжиниринг
4959;Рейка боковая 800;НГКШ.745418.689-02-Л;<>;82; ;ХРОМОС Инжиниринг
4960;Рейка боковая специальная для шкафов глубиной 400 мм  (4шт.);R5PLE400;<>;4; ;Возврат с производства
4961;Рейка боковая специальная для шкафов глубиной 400 мм  (4шт.);R5PLE400;<>;4; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4962;Рейка боковая специальная для шкафов глубиной 600 мм  (4шт.);R5PLE600;<>;16; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4963;Рейка боковая усиленная 600;НГКШ.745418.690-01-Л;<>;30; ;ХРОМОС Инжиниринг
4964;Рейка боковая усиленная 800;НГКШ.745418.690-02-Л;<>;36; ;ХРОМОС Инжиниринг
4965;Рейка для фиксации кабеля ширина 800 мм  (2шт.);R5PAC80;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4966;Рейка изоляторов ф1000;НГКШ.745418.700-02;<>;2; ;ХРОМОС Инжиниринг
4967;Рейка изоляторов ф600;НГКШ.745418.700-Л;<>;24; ;ХРОМОС Инжиниринг
4968;Рейка изоляторов ф800;НГКШ.745418.700-01-Л;<>;26; ;Крабер ООО
4969;Рейка изоляторов ф800;НГКШ.745418.700-01-Л;<>;106; ;ХРОМОС Инжиниринг
4970;Рейка поперечная 600;НГКШ.745418.691-02-Л;<>;1; ;ХРОМОС Инжиниринг
4971;Рейка поперечная 800;НГКШ.745418.691-03-Л;<>;17; ;ХРОМОС Инжиниринг
4972;Рейка поперечная 800 мм  (4шт.);R5TFE800;<>;4; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4973;Рейка поперечная усиленная 600;НГКШ.745418.692-02-Л;<>;3; ;ХРОМОС Инжиниринг
4974;Рейка поперечная усиленная 800;НГКШ.745418.692-03-Л;<>;1; ;ХРОМОС Инжиниринг
4975;Рейка широкая 800 мм  (4шт.);R5PDF800;<>;10; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4976;Рейка широкая 800 мм  (4шт.);R5PDL800;<>;45; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4977;Рейка ШН боковая 600;НГКШ.745418.702;<>;24; ;ПМК ООО
4978;Рейка ШН боковая 800;НГКШ.745418.702-01;<>;28; ;ПМК ООО
4979;Рейка ШН поперечная 1000;НГКШ.745418.782-02;<>;2; ;ХРОМОС Инжиниринг
4980;Реле  промежуточное;RG25-1022-28-1220;<>;6; ;ПРОМАВТОМАТ ООО
4981;Реле (идет вместе с кодом 12290);DRM570730LT;<>;130; ;АМИТРОН -ЭК
4982;Реле (идет вместе с кодом 12290);DRM570730LT;<>;110; ;Электро-Лайн ООО
4983;Реле (пост.ток, 110В);R4-2014-1110  WT;<>;35; ;АМИТРОН -ЭК
4984;Реле Micom Agil;P94VB11A2B6620A;<>;2; ;ЭНЕРГОКОМ eur
4985;Реле Micom Agil;P14DZ21D2C6620A;<>;7; ;ЭНЕРГОКОМ eur
4986;Реле Zelio Logic;SR2A201BD;<>;1; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
4987;Реле безопасности(идет вместе с кодом 10776 и 11462);DRM/DRL CLIP M;<>;760; ;АМИТРОН -ЭК
4988;Реле безопасности(идет вместе с кодом 10776 и 11462);DRM/DRL CLIP M;<>;9; ;Возврат с производства
4989;Реле безопасности(идет вместе с кодом 10776 и 11462);DRM/DRL CLIP M;<>;200; ;СТАНДАРТ ООО
4990;Реле безопасности(идет вместе с кодом 10776 и 11462);DRM/DRL CLIP M;<>;75; ;Электро-Лайн ООО
4991;Реле безопасности(идет вместе с кодом 12290);DRM570220L;<>;430; ;АМИТРОН -ЭК
4992;Реле безопасности(идет вместе с кодом 12290);DRM570220L;<>;6; ;ТЭС/ТЭС НН
4993;Реле безопасности(идет вместе с кодом 12290);DRM570220L;<>;250; ;Электро-Лайн ООО
4994;Реле времени;ВЛ-46М1;<>;1; ;Реле и Автоматика Нов.
4995;Реле времени;CRM-82 TO UNI;<>;2; ;Снаб-СП
4996;Реле времени;РСВ 18-11 ~100В 3-30с. п/п;<>;2; ;СТРОЙЭНЕРГО ООО
4997;Реле времени;РСВ 260/100 з/п;<>;4; ;СТРОЙЭНЕРГО ООО
4998;Реле времени;РСВ 260/220 з/п;<>;3; ;СТРОЙЭНЕРГО ООО
4999;Реле времени;РСВ-18-13~220 В, 1-10с п/п;<>;12; ;СТРОЙЭНЕРГО ООО
5000;Реле времени;РСВ 260/220 з/п;<>;1; ;ЧЭАЗ АО
5001;Реле времени;РСВ 260/100 з/п;<>;2; ;ЧЭАЗ АО
5002;Реле времени астрономическое;DWA1;<>;1; ;ИНКОМОС МПО
5003;Реле защиты максимального тока;РС80М2М-15;<>;29; ;РЗА СИСТЕМЗ
5004;Реле контроля напряжения;РКН-1-1-15М  УХЛ4;<>;3; ;Меандр ТД
5005;Реле контроля напряжения;РКН-3-15-15, 50 Гц,  АС220В;<>;22; ;Меандр ТД
5006;Реле контроля тока;RM-35 JA32MW;<>;9; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
5007;Реле контроля тока двустабильное;РТД-21М1;<>;2; ;Реле и Автоматика Нов.
5008;Реле контроля фаз;ЕЛ 11М-15 AC100В;<>;1; ;Меандр ТД
5009;Реле контроля фаз;ЕЛ 11М-15 АС 400 В;<>;69; ;Меандр ТД
5010;Реле максимального напряжения;РСН 50-1-200/200;<>;3; ;СТРОЙЭНЕРГО ООО
5011;Реле минимального напряжения;РСН 50-4-160/200;<>;56; ;СТРОЙЭНЕРГО ООО
5012;Реле напряжения;РН 53/60Д;<>;12; ;СТРОЙЭНЕРГО ООО
5013;Реле напряжения;РН 54/160;<>;44; ;СТРОЙЭНЕРГО ООО
5014;Реле напряжения;РН 53/200;<>;5; ;СТРОЙЭНЕРГО ООО
5015;Реле напряжения;РСН50-7-250 В, п/п;<>;2; ;СТРОЙЭНЕРГО ООО
5016;Реле напряжения;РН 51/32;<>;2; ;СТРОЙЭНЕРГО ООО
5017;Реле напряжения;РН 54/160;<>;16; ;ЧЭАЗ АО
5018;Реле напряжения;РН 53/200;<>;4; ;ЧЭАЗ АО
5019;Реле напряжения;РН 53/60Д;<>;13; ;ЧЭАЗ АО
5020;Реле программируемое Овен;ПР102-230.2416.01.1;<>;1; ;Дельта-КИП
5021;Реле промежуточное;РП-23/220;<>;6; ;Реле и Автоматика Нов.
5022;Реле промежуточное;РЭП 37-221  ~220 В  4з+3р;<>;3; ;СТРОЙЭНЕРГО ООО
5023;Реле промежуточное;РП-256/220;<>;2; ;СТРОЙЭНЕРГО ООО
5024;Реле промежуточное;РЭП 38Д-2/220 п/п;<>;14; ;СТРОЙЭНЕРГО ООО
5025;Реле промежуточное;РП18-63 УХЛ4, 220 В, 2р+4з ПП;<>;1; ;СТРОЙЭНЕРГО ООО
5026;Реле промежуточное;РП-12/220;<>;16; ;СТРОЙЭНЕРГО ООО
5027;Реле промежуточное;РЭП 37-221 ~220 В  2з+3р;<>;13; ;СТРОЙЭНЕРГО ООО
5028;Реле промежуточное;РП-256/220;<>;2; ;ЧЭАЗ АО
5029;Реле промежуточное;РП-12/220;<>;18; ;ЧЭАЗ АО
5030;Реле промежуточное =24В;РП-21 МН-004;<>;1; ;СТРОЙЭНЕРГО ООО
5031;Реле промежуточное импульсное;РИО-1М AC230В УХЛ4;<>;1; ;Меандр ТД
5032;Реле с 4 перекидными контактами (220 В, пост.ток);56.34.9.220.0040;<>;8; ;Электро-Лайн ООО
5033;Реле температурное;ТР-15 ACDC24В/АС230В УХЛ4;<>;5; ;Меандр ТД
5034;Реле тока;РТ-40/0,2;<>;9; ;СТРОЙЭНЕРГО ООО
5035;Реле тока;РТ 140/10 ПП;<>;4; ;СТРОЙЭНЕРГО ООО
5036;Реле тока;РТ-81/1 з/п;<>;2; ;ЧЭАЗ АО
5037;Реле указательное;РЭПУ-12М-101-1 ~0,1 А;<>;142; ;ВНИИР-Промэлектро
5038;Реле указательное;РЭПУ-12М-201-1 =0,16 А;<>;21; ;ВНИИР-Промэлектро
5039;Реле указательное;РЭПУ-12М-200-1 ~0,5 А;<>;6; ;ВНИИР-Промэлектро
5040;Реле указательное;РУ-21/~0,16 50 Гц;<>;40; ;СТРОЙЭНЕРГО ООО
5041;Реле указательное;РУ-21/=0,016 з/п;<>;19; ;СТРОЙЭНЕРГО ООО
5042;Реле указательное;РЭПУ-12М-102-1= 220В;<>;2; ;СТРОЙЭНЕРГО ООО
5043;Реле указательное;РЭПУ-12М-101-1 ~0,1 А;<>;229; ;СТРОЙЭНЕРГО ООО
5044;Реле указательное;РЭПУ-12М-101-1 =220 В;<>;169; ;СТРОЙЭНЕРГО ООО
5045;Реле указательное;РЭПУ-12М-201-1 ~0,1 А;<>;50; ;СТРОЙЭНЕРГО ООО
5046;Реле указательное;РЭПУ-12М-201-1 ~0,16 А;<>;12; ;СТРОЙЭНЕРГО ООО
5047;Реле указательное;РЭПУ-12М-200-1 ~0,5 А;<>;24; ;СТРОЙЭНЕРГО ООО
5048;Реле указательное;РЭПУ-12М-201-1~220В;<>;37; ;СТРОЙЭНЕРГО ООО
5049;Реле указательное;РЭПУ-12М-101-1 ~220 В;<>;120; ;СТРОЙЭНЕРГО ООО
